Year,Month,Quarter,Team,Amount,Count
2020,6,2,CorpFoundation,4451657,23
2020,7,3,CorpFoundation,12191597.4,33
2020,8,3,CorpFoundation,3377858.53,31
2020,9,3,CorpFoundation,4871068.8,35
2020,10,4,CorpFoundation,3655669.9,36
2020,11,4,CorpFoundation,5657710.97,39
2020,12,4,CorpFoundation,3493832.58,58
2021,1,1,CorpFoundation,2403929.85,31
2021,2,1,CorpFoundation,6988024.61,35
2021,3,1,CorpFoundation,3435094.78,39
2021,4,2,CorpFoundation,4892920.77,44
2021,5,2,CorpFoundation,3646473.1,33
2021,6,2,CorpFoundation,16407477.81,32
2021,7,3,CorpFoundation,18913953.05,36
2021,8,3,CorpFoundation,5494292.34,64
2021,9,3,CorpFoundation,4871132.53,69
2021,10,4,CorpFoundation,4463961.32,48
2021,11,4,CorpFoundation,12522314,56
2021,12,4,CorpFoundation,6580394,68
2022,1,1,CorpFoundation,2508404.26,34
2022,2,1,CorpFoundation,1358164.54,25
2022,3,1,CorpFoundation,1970320.65,19
2022,4,2,CorpFoundation,8693530.59,40
2022,5,2,CorpFoundation,1096678.48,35
2022,6,2,CorpFoundation,5831329.33,26
2022,7,3,CorpFoundation,17311519.72,50
2022,8,3,CorpFoundation,3786514.6,69
2022,9,3,CorpFoundation,12397541.45,63
2022,10,4,CorpFoundation,6828620.81,42
2022,11,4,CorpFoundation,3798060.72,64
2022,12,4,CorpFoundation,2945271.92,23
2023,1,1,CorpFoundation,3182171.94,23
2023,2,1,CorpFoundation,1677155,14
2023,3,1,CorpFoundation,3534318.36,20
2023,4,2,CorpFoundation,10508831.73,21
2023,5,2,CorpFoundation,1329831.78,22
2023,6,2,CorpFoundation,6283843.38,30
2023,7,3,CorpFoundation,2589755.29,19
2023,8,3,CorpFoundation,14055458.96,47
2023,9,3,CorpFoundation,2604935,28
2023,10,4,CorpFoundation,11064176.94,28
2023,11,4,CorpFoundation,4493473.62,36
2023,12,4,CorpFoundation,2442237.74,32
2024,1,1,CorpFoundation,2743356.4,16
2024,2,1,CorpFoundation,3488197.88,14
2024,3,1,CorpFoundation,3588137,15
2024,4,2,CorpFoundation,5663250,18
2024,5,2,CorpFoundation,1568600,24
2024,6,2,CorpFoundation,7997591.78,37
2024,7,3,CorpFoundation,4154263,24
2024,8,3,CorpFoundation,5394615.82,32
2024,9,3,CorpFoundation,4827410.2,36
2024,10,4,CorpFoundation,4360464,32
2024,11,4,CorpFoundation,4002406.96,29
2024,12,4,CorpFoundation,2785147,24
2025,1,1,CorpFoundation,3976953.4,20
2025,2,1,CorpFoundation,1746900,17
2025,3,1,CorpFoundation,3590000,9
2025,4,2,CorpFoundation,19731998.77,27
2025,5,2,CorpFoundation,1716700,15
2025,6,2,CorpFoundation,2947654.99,17
2025,7,3,CorpFoundation,6085753,22
2025,8,3,CorpFoundation,10353514.99,33
2025,9,3,CorpFoundation,7059941.98,33
2006,1,1,Government,5000,1
2008,2,1,Government,7058,1
2009,2,1,Government,231,1
2011,3,1,Government,50000,1
2012,9,3,Government,6000,1
2016,12,4,Government,25000,1
2020,11,4,Government,500000,1
2020,12,4,Government,823057.65,1
2021,7,3,Government,500000,1
2021,8,3,Government,1000000,1
2021,9,3,Government,8000000,1
2021,12,4,Government,12000000,1
2022,1,1,Government,6000000,1
2022,2,1,Government,13853884.96,1
2022,7,3,Government,6146115.04,1
2022,9,3,Government,126896,1
2022,10,4,Government,8000000,2
2023,7,3,Government,13609832.03,2
2023,8,3,Government,11597000,2
2023,9,3,Government,7774903.43,3
2023,10,4,Government,13580664.93,3
2023,12,4,Government,4000000,1
2024,6,2,Government,3000000,1
2024,7,3,Government,3720837,2
2024,8,3,Government,501861,2
2024,9,3,Government,1237279,2
2025,6,2,Government,3000000,1
2025,9,3,Government,3000000,1
2024,4,2,MajorGifts,150000,1
2024,6,2,MajorGifts,91200,1
2024,7,3,MajorGifts,5000,1
2024,9,3,MajorGifts,214060,5
2024,10,4,MajorGifts,350400,4
2024,11,4,MajorGifts,450000,4
2024,12,4,MajorGifts,71059.91,3
2025,1,1,MajorGifts,725000,3
2025,2,1,MajorGifts,57000,2
2025,3,1,MajorGifts,480075,7
2025,4,2,MajorGifts,1075000,2
2025,5,2,MajorGifts,445000,6
2025,6,2,MajorGifts,225000,4
2025,7,3,MajorGifts,275000,1
2025,8,3,MajorGifts,325000,4
2025,9,3,MajorGifts,210000,5
2025,9,3,Marketplace,9018118.13,0
2025,8,3,Marketplace,11734997.03,0
2025,7,3,Marketplace,4367982.39,0
2025,6,2,Marketplace,2712871.74,0
2025,5,2,Marketplace,6501140.89,0
2025,4,2,Marketplace,3752288.12,0
2025,3,1,Marketplace,5611596.81,0
2025,2,1,Marketplace,4404047.09,0
2025,1,1,Marketplace,4843505.6,0
2024,12,4,Marketplace,9365400.49,0
2024,11,4,Marketplace,4863660.02,0
2024,10,4,Marketplace,5586978.74,0
2024,9,3,Marketplace,8653545,0
2024,8,3,Marketplace,12577357.74,0
2024,7,3,Marketplace,4599927.07,0
2024,6,2,Marketplace,2805678.35,0
2024,5,2,Marketplace,6710637.01,0
2024,4,2,Marketplace,3302854.6,0
2024,3,1,Marketplace,4278026.75,0
2024,2,1,Marketplace,4913689,0
2024,1,1,Marketplace,4706452.24,0
2023,12,4,Marketplace,6527050.11,0
2023,11,4,Marketplace,8364159.53,0
2023,10,4,Marketplace,6130217.33,0
2023,9,3,Marketplace,7665534.87,0
2023,8,3,Marketplace,13368640.66,0
2023,7,3,Marketplace,4589383.31,0
2023,6,2,Marketplace,2947376.52,0
2023,5,2,Marketplace,7039693,0
2023,4,2,Marketplace,3212514.53,0
2023,3,1,Marketplace,5003941.63,0
